"","genotype","hi_or_lo","sib_type","subplot_id","rep","awning","treatment"
"103","TB_0255","lo","closest_zero",60803,1,8,"dry"
"104","TB_0255","lo","closest_zero",61412,2,14,"wet"
"105","TB_0260","lo","closest_zero",60228,1,2,"wet"
"106","TB_0260","lo","closest_zero",61530,2,15,"wet"
"107","TB_0260","lo","closest_zero",61130,2,11,"dry"
"108","TB_0260","lo","closest_zero",60628,1,6,"dry"
"109","TB_0260","lo","closest_lo_full",60228,1,2,"wet"
"110","TB_0260","lo","closest_lo_full",61530,2,15,"wet"
"111","TB_0260","lo","closest_lo_full",61130,2,11,"dry"
"112","TB_0260","lo","closest_lo_full",60628,1,6,"dry"
"113","TB_0269","lo","closest_zero",60560,1,5,"dry"
"114","TB_0269","lo","closest_zero",61538,2,15,"wet"
"115","TB_0269","lo","closest_zero",61138,2,11,"dry"
"116","TB_0269","lo","closest_zero",60160,1,1,"wet"
"117","TB_0335","hi","hi_roller",60847,1,8,"dry"
"118","TB_0335","hi","hi_roller",61550,2,15,"wet"
"119","TB_0335","hi","hi_roller",61150,2,11,"dry"
"120","TB_0335","hi","hi_roller",60447,1,4,"wet"
"121","TB_0343","lo","closest_zero",60603,1,6,"dry"
"122","TB_0343","lo","closest_zero",60206,1,2,"wet"
"123","TB_0343","lo","closest_zero",61519,2,15,"wet"
"124","TB_0343","lo","closest_zero",61119,2,11,"dry"
"125","TB_0344","lo","closest_lo_full",60629,1,6,"dry"
"126","TB_0344","lo","closest_lo_full",60229,1,2,"wet"
"127","TB_0344","lo","closest_lo_full",61056,2,10,"dry"
"128","TB_0344","lo","closest_lo_full",61456,2,14,"wet"
"129","TB_0344","lo","closest_lo_full",60629,1,6,"dry"
"130","TB_0344","lo","closest_lo_full",60229,1,2,"wet"
"131","TB_0344","lo","closest_lo_full",61056,2,10,"dry"
"132","TB_0344","lo","closest_lo_full",61456,2,14,"wet"
"133","TB_0368","hi","hi_roller",60911,2,9,"dry"
"134","TB_0368","hi","hi_roller",60643,1,6,"dry"
"135","TB_0368","hi","hi_roller",60243,1,2,"wet"
"136","TB_0368","hi","hi_roller",61311,2,13,"wet"
"137","TB_0382","hi","hi_roller",61633,2,16,"wet"
"138","TB_0382","hi","hi_roller",60221,1,2,"wet"
"139","TB_0382","hi","hi_roller",60621,1,6,"dry"
"140","TB_0382","hi","hi_roller",61233,2,12,"dry"
"141","TB_0386","hi","hi_roller",60156,1,1,"wet"
"142","TB_0386","hi","hi_roller",61660,2,16,"wet"
"143","TB_0386","hi","hi_roller",60556,1,5,"dry"
"144","TB_0386","hi","hi_roller",61260,2,12,"dry"
"145","TB_0433","hi","hi_roller",61030,2,10,"dry"
"146","TB_0433","hi","hi_roller",60846,1,8,"dry"
"147","TB_0433","hi","hi_roller",60446,1,4,"wet"
"148","TB_0433","hi","hi_roller",61430,2,14,"wet"
"149","TB_0436","hi","hi_roller",60122,1,1,"wet"
"150","TB_0436","hi","hi_roller",61126,2,11,"dry"
"151","TB_0436","hi","hi_roller",60522,1,5,"dry"
"152","TB_0436","hi","hi_roller",61526,2,15,"wet"
"153","TB_0437","lo","closest_lo_full",60429,1,4,"wet"
"154","TB_0437","lo","closest_lo_full",60829,1,8,"dry"
"155","TB_0437","lo","closest_lo_full",61201,2,12,"dry"
