,genotype,score,VM_dry,VM_wet,VM_dw_percent,CH_dry,CH_wet,CH_dw_percent,TB_0003,TB_0037,TB_0095,TB_0239,TB_0335,TB_0368,TB_0382,TB_0386,TB_0433,TB_0436,TB_0446,TB_0462,TB_0476,TB_0508,TB_0509,TB_0581,TB_0612
41,TB_0266,0,1.8257333333,1.5035333333,1.2142952157,299.8333333333,300.6666666667,0.9972283814,56.4269439187,67.1118469423,67.1118469423,56.4269439187,56.4269439187,56.4269439187,55.2449092677,52.6497863244,56.4269439187,56.4269439187,56.4269439187,56.4269439187,67.1118469423,67.1118469423,67.1118469423,56.4269439187,67.1118469423
42,TB_0267,0,4.5722333333,4.4436,1.0289480001,435.6666666667,642.6666666667,0.6779045643,56.4269439187,67.1118469423,67.1118469423,56.4269439187,56.4269439187,56.4269439187,55.2449092677,52.6497863244,56.4269439187,56.4269439187,56.4269439187,56.4269439187,67.1118469423,67.1118469423,67.1118469423,56.4269439187,67.1118469423
79,TB_0402,0,1.9424833333,2.70775,0.7173791278,420.8333333333,486.8333333333,0.8644299897,56.4269439187,67.1118469423,67.1118469423,56.4269439187,56.4269439187,56.4269439187,55.2449092677,52.6497863244,56.4269439187,56.4269439187,56.4269439187,56.4269439187,67.1118469423,67.1118469423,67.1118469423,56.4269439187,67.1118469423
105,TB_0530,0.5,1.01975,2.3525333333,0.4334688846,362.3333333333,412.6666666667,0.8780290792,56.4269439187,67.1118469423,67.1118469423,56.4269439187,56.4269439187,56.4269439187,55.2449092677,52.6497863244,56.4269439187,56.4269439187,56.4269439187,56.4269439187,67.1118469423,67.1118469423,67.1118469423,56.4269439187,67.1118469423
106,TB_0531,0,5.4354,4.1777833333,1.3010248657,347.1666666667,416.6666666667,0.8332,56.4269439187,67.1118469423,67.1118469423,56.4269439187,56.4269439187,56.4269439187,55.2449092677,52.6497863244,56.4269439187,56.4269439187,56.4269439187,56.4269439187,67.1118469423,67.1118469423,67.1118469423,56.4269439187,67.1118469423
110,TB_0547,0,4.7136166667,4.1323166667,1.1406716975,577.6666666667,572.6666666667,1.0087310827,56.4269439187,67.1118469423,67.1118469423,56.4269439187,56.4269439187,56.4269439187,55.2449092677,52.6497863244,56.4269439187,56.4269439187,56.4269439187,56.4269439187,67.1118469423,67.1118469423,67.1118469423,56.4269439187,67.1118469423
114,TB_0554,0,2.00455,2.1384666667,0.9373772485,406.6666666667,448.8333333333,0.9060527293,56.4269439187,67.1118469423,67.1118469423,56.4269439187,56.4269439187,56.4269439187,55.2449092677,52.6497863244,56.4269439187,56.4269439187,56.4269439187,56.4269439187,67.1118469423,67.1118469423,67.1118469423,56.4269439187,67.1118469423
128,TB_0640,0,2.1952666667,2.2574166667,0.9724685297,395.3333333333,420.5,0.9401506143,56.4269439187,67.1118469423,67.1118469423,56.4269439187,56.4269439187,56.4269439187,55.2449092677,52.6497863244,56.4269439187,56.4269439187,56.4269439187,56.4269439187,67.1118469423,67.1118469423,67.1118469423,56.4269439187,67.1118469423
126,TB_0610,0.5,1.6104833333,1.8106,0.8894749438,330.6666666667,304.6666666667,1.0853391685,56.4269439187,67.1118469423,67.1118469423,56.4269439187,56.4269439187,56.4269439187,39.0896405714,55.2449092677,56.4269439187,56.4269439187,56.4269439187,56.4269439187,67.1118469423,67.1118469423,67.1118469423,56.4269439187,67.1118469423
74,TB_0362,0.5,0.6069833333,0.8387333333,0.7236904857,257.1666666667,256.6666666667,1.0019480519,56.4269439187,67.1118469423,67.1118469423,56.4269439187,56.4269439187,56.4269439187,45.519226707,55.2449092677,56.4269439187,56.4269439187,56.4269439187,56.4269439187,67.1118469423,67.1118469423,67.1118469423,56.4269439187,67.1118469423
124,TB_0605,0,1.0292333333,1.8245666667,0.5640974113,280.1666666667,339.6666666667,0.824828263,56.4269439187,67.1118469423,67.1118469423,56.4269439187,56.4269439187,56.4269439187,45.519226707,55.2449092677,56.4269439187,56.4269439187,56.4269439187,56.4269439187,67.1118469423,67.1118469423,67.1118469423,56.4269439187,67.1118469423
96,TB_0487,0,1.7529,2.745,0.638579235,321,408.3333333333,0.786122449,56.4269439187,67.1118469423,67.1118469423,56.4269439187,56.4269439187,56.4269439187,48.9080770425,55.2449092677,56.4269439187,56.4269439187,56.4269439187,56.4269439187,67.1118469423,67.1118469423,67.1118469423,56.4269439187,67.1118469423
111,TB_0549,0.5,1.3346833333,1.7154333333,0.7780444203,411.8333333333,376.3333333333,1.0943312666,56.4269439187,67.1118469423,67.1118469423,56.4269439187,56.4269439187,56.4269439187,48.9080770425,55.2449092677,56.4269439187,56.4269439187,56.4269439187,56.4269439187,67.1118469423,67.1118469423,67.1118469423,56.4269439187,67.1118469423
86,TB_0434,0,1.0362833333,0.5891166667,1.7590460294,219.8333333333,244.1666666667,0.9003412969,56.4269439187,67.1118469423,67.1118469423,56.4269439187,56.4269439187,56.4269439187,52.1919534028,55.2449092677,56.4269439187,56.4269439187,56.4269439187,56.4269439187,67.1118469423,67.1118469423,67.1118469423,56.4269439187,67.1118469423
18,TB_0127,0,0.7328,1.0433666667,0.7023417782,238.6666666667,247.6666666667,0.9636608345,56.4269439187,67.1118469423,67.1118469423,56.4269439187,56.4269439187,56.4269439187,53.5910440279,55.2449092677,56.4269439187,56.4269439187,56.4269439187,56.4269439187,67.1118469423,67.1118469423,67.1118469423,56.4269439187,67.1118469423
48,TB_0282,0,1.1736,1.2354166667,0.9499629005,513.3333333333,486.1666666667,1.0558793281,56.4269439187,67.1118469423,67.1118469423,56.4269439187,56.4269439187,56.4269439187,53.5910440279,55.2449092677,56.4269439187,56.4269439187,56.4269439187,56.4269439187,67.1118469423,67.1118469423,67.1118469423,56.4269439187,67.1118469423
56,TB_0315,0.5,0.7791333333,0.50515,1.5423801511,179.5,155.3333333333,1.1555793991,56.4269439187,67.1118469423,67.1118469423,56.4269439187,56.4269439187,56.4269439187,53.5910440279,55.2449092677,56.4269439187,56.4269439187,56.4269439187,56.4269439187,67.1118469423,67.1118469423,67.1118469423,56.4269439187,67.1118469423
