Subplot_ID,Rep,Awning,Treatment,Genotype,Grid_Location,Jul_21_IR,Jul_11_IR
60247,1,2,wet,TB_0056,H11,35.9573125,37.7835
60248,1,2,wet,TB_0340,H12,36.5935625,37.75325
60249,1,2,wet,B100,I7,34.7871875,33.790875
60250,1,2,wet,TB_0046,I8,36.3878125,34.41975
60251,1,2,wet,TB_0348,I9,35.645,37.161
60252,1,2,wet,TB_0148,I10,36.3475625,35.8908125
60253,1,2,wet,TB_0103,I11,35.448375,34.2795625
60254,1,2,wet,TB_0212,I12,36.4564375,34.628875
60255,1,2,wet,TB_0554,J7,35.23275,33.864125
60256,1,2,wet,TB_0527,J8,35.1719375,33.6786875
60257,1,2,wet,TB_0278,J9,35.319125,34.9436875
60258,1,2,wet,TB_0439,J10,35.1006875,33.867
60259,1,2,wet,B100,J11,34.982375,33.921125
60260,1,2,wet,TB_0401,J12,35.471375,34.4176875
60301,1,3,wet,TB_0204,A18,42.623125,34.4305625
60302,1,3,wet,B100,A17,36.6984375,33.959125
60303,1,3,wet,TB_0258,A16,36.5085,34.08025
60304,1,3,wet,TB_0282,A15,36.9725625,34.0714375
60305,1,3,wet,TB_0577,A14,36.85025,35.0823125
60306,1,3,wet,TB_0358,A13,36.981625,34.3920625
60307,1,3,wet,TB_0534,B18,36.130625,33.5286875
60308,1,3,wet,TB_0384,B17,36.292,34.3899375
60309,1,3,wet,B100,B16,36.2511875,35.0094375
60310,1,3,wet,A10,B15,37.5391875,34.686625
60311,1,3,wet,TB_0610,B14,36.3404375,33.5259375
60312,1,3,wet,TB_0064,B13,36.5596875,33.948
60313,1,3,wet,TB_0493,C18,36.1815625,33.25275
60314,1,3,wet,TB_0265,C17,36.93575,34.188625
60315,1,3,wet,TB_0261,C16,35.923875,32.84325
60316,1,3,wet,TB_0256,C15,36.4213125,33.4616875
60317,1,3,wet,TB_0495,C14,36.250625,33.5989375
60318,1,3,wet,B100,C13,36.1745625,33.2135625
60319,1,3,wet,TB_0155,D18,37.219625,33.657125
60320,1,3,wet,B100,D17,36.14975,33.755625
60321,1,3,wet,TB_0342,D16,37.4285625,34.64
60322,1,3,wet,TB_0456,D15,36.361375,33.9101875
60323,1,3,wet,TB_0540,D14,36.384,34.03325
60324,1,3,wet,TB_0606,D13,36.800125,34.028375
60325,1,3,wet,TB_0034,E18,36.2015625,33.6943125
60326,1,3,wet,TB_0137,E17,36.878875,33.1484375
60327,1,3,wet,TB_0555,E16,35.839125,32.9859375
60328,1,3,wet,TB_0547,E15,37.362625,34.3168125
60329,1,3,wet,TB_0050,E14,36.63975,33.235
60330,1,3,wet,TB_0460,E13,36.5888125,33.473875
60331,1,3,wet,TB_0315,F18,37.02925,34.41175
60332,1,3,wet,TB_0411,F17,36.93175,34
60333,1,3,wet,TB_0387,F16,35.9978125,33.6006875
60334,1,3,wet,B100,F15,35.473875,33.37225
60335,1,3,wet,TB_0201,F14,36.1285625,33.54
60336,1,3,wet,TB_0206,F13,47.414125,34.867
60337,1,3,wet,TB_0496,G18,35.737625,33.2275625
60338,1,3,wet,TB_0522,G17,36.8478125,33.89625
60339,1,3,wet,TB_0129,G16,37.50325,34.799625
60340,1,3,wet,TB_0294,G15,37.3525625,35.0853125
60341,1,3,wet,TB_0334,G14,36.037875,34.57225
60342,1,3,wet,TB_0512,G13,36.311625,34.2355
