Subplot_ID,Rep,Awning,Treatment,Genotype,Grid_Location,Jul_16_notes,Jul_11_notes,Jul_12_notes,Jul_11_weather,Jul_21_notes,Jul_21_weather,Jul_21_IR,Jul_21_IR_std,Jul_21_IR_obs,Jul_21_IR_se,,Jul_11_IR,Jul_11_IR_std,Jul_11_IR_obs,Jul_11_IR_se,Jul_16_IR,Jul_16_IR_std,Jul_16_IR_obs,Jul_16_IR_se
60144,1,1,wet,TB_0590,H5,,beam,,,beam,,35.786125,0.181569775,16,0.045392444,,36.0333125,0.298188245,16,0.074547061,,,,
60145,1,1,wet,B100,H4,,beam,,,beam,,35.225375,0.321690923,16,0.080422731,,35.5246875,0.766542255,16,0.191635564,,,,
60146,1,1,wet,TB_0407,H3,,beam,,,beam,,35.086375,0.21937787,16,0.054844468,,34.3734375,0.263912857,16,0.065978214,,,,
60147,1,1,wet,TB_0109,H2,,beam,,,beam,,34.9936875,0.178101364,16,0.044525341,,34.2695,0.292818032,16,0.073204508,,,,
60148,1,1,wet,TB_0605,H1,,beam,,,beam,,35.3696875,0.210457508,16,0.052614377,,34.086125,0.300236546,16,0.075059136,,,,
60149,1,1,wet,B100,I6,,,,,,,34.9150625,0.230214818,16,0.057553705,,35.02475,0.60304378,16,0.150760945,,,,
60150,1,1,wet,TB_0068,I5,,,,,,,34.6304375,0.202907193,16,0.050726798,,33.7701875,0.295910847,16,0.073977712,,,,
60151,1,1,wet,TB_0127,I4,,,,,,,34.9663125,0.164649818,16,0.041162454,,34.22925,0.189378457,16,0.047344614,,,,
60152,1,1,wet,TB_0281,I3,,,,,,,35.948875,0.209785883,16,0.052446471,,36.293125,0.882682946,16,0.220670737,,,,
60153,1,1,wet,TB_0497,I2,,,,,,,35.62025,0.190428814,16,0.047607204,,36.023375,0.540541318,16,0.13513533,,,,
60154,1,1,wet,TB_0475,I1,,,,,,,36.0466875,0.181495902,16,0.045373976,,35.44975,0.380392517,16,0.095098129,,,,
60155,1,1,wet,TB_0558,J6,,,,,,,35.6619375,0.100624363,16,0.025156091,,33.937125,0.269417118,16,0.067354279,,,,
60156,1,1,wet,TB_0386,J5,,,,,,,35.2014375,0.215338174,16,0.053834543,,33.1444375,0.242076839,16,0.06051921,,,,
60157,1,1,wet,TB_0126,J4,,,,,,,35.2465625,0.195249915,16,0.048812479,,33.2328125,0.157326505,16,0.039331626,,,,
60158,1,1,wet,TB_0347,J3,,,,,,,35.582,0.228784906,16,0.057196227,,34.2744375,0.487839177,16,0.121959794,,,,
60159,1,1,wet,B100,J2,,,,,,,35.9426875,0.24059003,16,0.060147507,,35.3591875,0.299328185,16,0.074832046,,,,
60160,1,1,wet,TB_0269,J1,,,,,,,39.0231875,0.623511798,16,0.15587795,,36.0111875,0.486258809,16,0.121564702,,,,
